date,value,latent_mean,split
2022-10-31,149.981388480043,150.422290453558,train
2022-11-07,140.166611186490,148.838406739638,train
2022-11-14,148.276126845922,148.996933075260,train
2022-11-21,156.072843643212,150.960153655195,train
2022-11-28,161.539789183620,154.424412867829,train
2022-12-05,156.184490170895,158.788657833846,train
2022-12-12,154.036944850823,163.290446762328,train
2022-12-19,153.443483938142,167.178289829030,train
2022-12-26,167.938226698305,169.880875267354,train
2023-01-02,163.751892514201,171.134455757053,train
2023-01-09,164.293651823412,171.039263378253,train
2023-01-16,166.053745806039,170.032087566716,train
2023-01-23,162.440249512189,168.781363168371,train
2023-01-30,171.612941878155,168.028873361199,train
2023-02-06,178.412321872616,168.414406739638,train
2023-02-13,173.912695448933,170.323616390561,train
2023-02-20,174.904889255570,173.794015880899,train
2023-02-27,173.859935790172,178.500729813748,train
2023-03-06,180.357133911913,183.825345799300,train
2023-03-13,193.114032383429,188.992175951700,train
2023-03-20,202.778892089852,193.240790925209,train
2023-03-27,202.680049402579,195.995376363532,train
2023-04-03,196.710866224143,196.992184946425,train
2023-04-10,194.509505436686,196.335951343708,train
2023-04-17,194.860347596063,194.472404512635,train
2023-04-24,197.906729651620,192.083225394075,train
2023-05-01,187.927458078316,189.927556676500,train
2023-05-08,188.011924025426,188.666406739638,train
2023-05-15,196.427421111717,188.710199298201,train
2023-05-22,205.499013862020,190.124408177976,train
2023-05-29,198.510112494358,192.614900148391,train
2023-06-05,197.961375382309,195.596338603442,train
2023-06-12,193.172905866634,198.327962739138,train
2023-06-19,194.909125144072,200.085612274163,train
2023-06-26,199.329925096249,200.330555014578,train
2023-07-03,197.142125325224,198.836398158988,train
2023-07-10,190.613385688990,195.744958539567,train
2023-07-17,191.385353115649,191.538234177992,train
2023-07-24,192.719335150478,186.932833096997,train
2023-07-31,189.710331951125,182.720973768859,train
2023-08-07,179.935538188143,179.594406739638,train
2023-08-14,178.420502654721,177.991515982901,train
2023-08-21,184.640038049683,178.002545952272,train
2023-08-28,187.008649180483,179.354583202472,train
2023-09-04,182.916794209793,181.479650637987,train
2023-09-11,188.253817190541,183.650233549765,train
2023-09-18,189.846308549589,185.151111177985,train
2023-09-25,191.371945545550,185.448053918399,train
2023-10-02,185.345272589527,184.314668969615,train
2023-10-09,181.660782956869,181.888270574112,train
2023-10-16,181.859129441837,178.641917232073,train
2023-10-23,171.241807193073,175.278970871293,train
2023-10-30,169.507504453062,172.574290453558,train
2023-11-06,168.207621844817,171.198406739638,train
2023-11-13,159.561461320884,171.564933075260,train
2023-11-20,166.104981509138,173.736153655195,train
2023-11-27,167.471065886524,177.408412867829,train
2023-12-04,171.268889268548,181.980657833846,train
2023-12-11,183.428733314786,186.690446762328,train
2023-12-18,194.844863906128,190.786289829030,train
2023-12-25,197.596283557239,193.696875267354,train
2024-01-01,197.284698998475,195.158455757053,test
2024-01-08,198.957612577114,195.271263378253,test
2024-01-15,192.611333026677,194.472087566716,test
2024-01-22,193.427947576509,193.429363168371,test
2024-01-29,178.319375087409,192.884873361199,test
2024-02-05,184.570543872674,193.478406739638,test
2024-02-12,196.280329922006,195.595616390561,test
2024-02-19,195.191086038644,199.274015880899,test
2024-02-26,198.410239230057,204.188729813748,test
2024-03-04,198.790271685980,209.721345799300,test
2024-03-11,204.509304079543,215.096175951700,test
2024-03-18,209.392033765263,219.552790925209,test
2024-03-25,215.183649393803,222.515376363532,test
2024-04-01,225.119594718102,223.720184946425,test
2024-04-08,218.964868406727,223.271951343708,test
2024-04-15,222.186556673466,221.616404512635,test
2024-04-22,216.056831210848,219.435225394075,test
2024-04-29,212.703481659735,217.487556676500,test
2024-05-06,211.541321396263,216.434406739638,test
2024-05-13,215.706723585021,216.686199298201,test
2024-05-20,216.569424552751,218.308408177976,test
2024-05-27,220.148296322328,221.006900148391,test
2024-06-03,233.455075399998,224.196338603442,test
2024-06-10,230.341196637833,227.135962739138,test
2024-06-17,226.974647846753,229.101612274163,test
2024-06-24,234.410927824025,229.554555014578,test
